method,pixel_acc,pixel_kappa,pixel_f1_weighted,pixel_f1_macro,parcel_acc,parcel_kappa,parcel_f1_weighted,parcel_f1_macro
SMOTE-aug RF,0.564665948809347,0.5119025432407651,0.5610632174356392,0.484428058445079,0.6465809693213284,0.5843662458052434,0.6450744086251217,0.5179736167643528
baseline_rf (real-only),0.5629981682261498,0.5082650563425437,0.555784915752025,0.47116535914723856,0.6439587039040581,0.5800720425898728,0.6396853386749844,0.4836655401389098
